Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Austria,AUT,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,68.5856098,69.5773171,69.3095122,69.4436585,69.9219512,69.7221951,70.0458537,69.9178049,70.057561,69.8331707,69.9146341,70.1146341,70.4634146,71.0146341,71.0121951,71.1146341,71.5658537,71.9146341,72.0121951,72.3121951,72.4634146,72.8121951,72.9609756,73.0121951,73.6121951,73.8146341,74.3170732,74.7682927,75.2170732,75.2658537,75.5682927,75.6170732,75.8170732,76.0682927,76.4195122,76.6682927,76.8707317,77.3195122,77.6707317,77.8756098,78.1268293,78.5756098,78.6780488,78.6317073,79.1804878,79.3317073,79.8804878,80.1804878,80.4317073,80.3317073,80.5804878,80.9829268,80.9365854,81.1365854,81.4902439
Azerbaijan,AZE,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,61.035,61.257,61.47,61.679,61.89,62.104,62.322,62.539,62.751,62.953,63.141,63.31,63.457,63.583,63.688,63.776,63.852,63.922,63.992,64.069,64.161,64.28,64.424,64.587,64.759,64.913,65.016,65.053,65.021,64.935,64.827,64.745,64.731,64.81,64.991,65.256,65.573,65.899,66.207,66.491,66.763,67.054,67.391,67.791,68.249,68.75,69.269,69.774,70.238,70.646,70.987,71.26,71.478,71.656,71.8
Burundi,BDI,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,41.281,41.592,41.907,42.225,42.54,42.838,43.103,43.328,43.515,43.675,43.829,44.006,44.232,44.517,44.865,45.266,45.701,46.141,46.562,46.953,47.314,47.657,47.992,48.317,48.618,48.845,48.941,48.884,48.684,48.379,48.053,47.816,47.752,47.911,48.295,48.86,49.526,50.186,50.758,51.213,51.545,51.779,51.977,52.19,52.437,52.735,53.09,53.492,53.926,54.386,54.861,55.338,55.807,56.259,56.688
Belgium,BEL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,69.7019512,70.5209756,70.2195122,70.0514634,70.755122,70.6253659,70.7063415,71.0129268,70.6931707,70.764878,70.9719512,71.0604878,71.405122,71.6353659,71.9858537,71.9712195,72.1197561,72.7739024,72.6980488,73.1936585,73.2070732,73.6217073,73.8880488,73.8690244,74.404878,74.5202439,74.7317073,75.3658537,75.5658537,75.6326829,76.0519512,76.1921951,76.3512195,76.3453659,76.6917073,76.8407317,77.1873171,77.3707317,77.4731707,77.6195122,77.7219512,77.9731707,78.0756098,78.1292683,78.8780488,78.9804878,79.3804878,79.7829268,79.6804878,80.0341463,80.1829268,80.5853659,80.3853659,80.5878049,81.2878049
Benin,BEN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,37.271,37.727,38.188,38.655,39.13,39.615,40.109,40.61,41.117,41.63,42.152,42.684,43.229,43.781,44.337,44.882,45.399,45.883,46.335,46.764,47.19,47.643,48.145,48.71,49.339,50.034,50.79,51.581,52.372,53.132,53.812,54.366,54.776,55.042,55.174,55.203,55.17,55.133,55.139,55.218,55.391,55.668,56.025,56.436,56.887,57.355,57.817,58.255,58.654,59.009,59.319,59.595,59.855,60.113,60.373
Burkina Faso,BFA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,34.432,34.897,35.369,35.847,36.331,36.815,37.291,37.754,38.207,38.652,39.095,39.542,40.003,40.493,41.025,41.63,42.343,43.166,44.081,45.06,46.049,46.984,47.81,48.486,48.992,49.323,49.492,49.55,49.545,49.505,49.454,49.409,49.374,49.36,49.38,49.445,49.557,49.713,49.914,50.168,50.489,50.893,51.384,51.956,52.602,53.31,54.063,54.841,55.618,56.376,57.096,57.762,58.377,58.942,59.457
Bangladesh,BGD,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,45.831,46.46,47.086,47.694,48.257,48.69,48.895,48.838,48.535,48.05,47.523,47.136,47.031,47.291,47.925,48.865,49.981,51.098,52.082,52.878,53.478,53.917,54.292,54.678,55.102,55.578,56.102,56.654,57.22,57.8,58.401,59.033,59.7,60.4,61.127,61.868,62.61,63.338,64.038,64.702,65.324,65.903,66.448,66.965,67.46,67.937,68.403,68.861,69.312,69.759,70.198,70.626,71.039,71.431,71.803
Bulgaria,BGR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,69.247561,70.1956098,69.4919512,70.3092683,71.1212195,71.2939024,71.2234146,70.4139024,71.225122,70.43,71.2563415,70.8736585,70.8995122,71.3421951,71.2080488,71.0497561,71.394878,70.8160976,71.1846341,71.3082927,71.157561,71.5719512,71.1860976,71.3863415,71.4997561,71.2280488,71.7307317,71.5268293,71.6043902,71.722439,71.6414634,71.5609756,71.4943902,71.3468293,71.2087805,71.0534146,70.8973171,70.3512195,71.0609756,71.4121951,71.6634146,71.7682927,71.8658537,72.0658537,72.5634146,72.5609756,72.6121951,72.6634146,72.9634146,73.4121951,73.5121951,74.1634146,74.3146341,74.8609756,74.4658537
Bahrain,BHR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,51.868,53.234,54.589,55.91,57.181,58.387,59.523,60.595,61.608,62.559,63.448,64.274,65.042,65.757,66.421,67.04,67.616,68.152,68.651,69.117,69.55,69.95,70.316,70.65,70.956,71.237,71.495,71.735,71.962,72.179,72.39,72.598,72.803,73.006,73.209,73.413,73.619,73.826,74.033,74.239,74.44,74.635,74.822,74.999,75.167,75.326,75.478,75.625,75.77,75.913,76.056,76.199,76.341,76.482,76.622
"Bahamas, The",BHS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,62.881,63.22,63.551,63.873,64.189,64.498,64.8,65.095,65.383,65.665,65.943,66.218,66.49,66.759,67.027,67.291,67.55,67.803,68.05,68.29,68.524,68.755,68.984,69.212,69.438,69.663,69.886,70.104,70.316,70.518,70.705,70.869,71.01,71.131,71.239,71.351,71.482,71.646,71.85,72.093,72.37,72.668,72.971,73.264,73.538,73.787,74.012,74.218,74.41,74.591,74.761,74.923,75.079,75.23,75.379
